Year,DeltaMaintFossil,DeltaMaintRenewable,TargetInvestmentMethod,FossilTargetIYRatio,RenewableTargetIYRatio,FossilNewInvestmentIYRatio,RenewableNewInvestmentIYRatio,FossilMaintenanceIYRatio_IndexProxy,RenewableMaintenanceIYRatio_IndexProxy,FossilMaintenanceIYRatio_CapitalStock,RenewableMaintenanceIYRatio_CapitalStock,FossilTargetIYRatio_IndexProxy,RenewableTargetIYRatio_IndexProxy,FossilTargetIYRatio_CapitalStock,RenewableTargetIYRatio_CapitalStock,TargetCapitalStockFossil_MioUSD,TargetCapitalStockRenewable_MioUSD
2025,0.05,0.05,IndexProxy,0.0232572697674419,0.00549298604651163,0.0107572697674419,0.00524298604651163,0.0125,0.00025,0.00673294790697674,0.00723088294494842,0.0232572697674419,0.00549298604651163,0.0174902176744186,0.01247386899146,57903.352,62185.5933265564
2026,0.05,0.05,IndexProxy,0.045569127813417,0.0881336193662365,0.0318743209302326,0.0877735121897547,0.0136948068831844,0.000360107176481818,0.00612086173361522,0.00657352994995311,0.045569127813417,0.0881336193662365,0.0379951826638478,0.0943470421397078,72979.9058,103698.84459231
2027,0.05,0.05,IndexProxy,0.043545725757241,0.0802422307413142,0.0289766553911205,0.0797941019906861,0.0145690703661205,0.000448128750628099,0.00701325252738804,0.00996529354144824,0.043545725757241,0.0802422307413142,0.0359899079185085,0.0897593955321343,88056.4596,145212.095858064
2028,0.05,0.05,IndexProxy,0.0415136106219117,0.0730572630286402,0.0263424139919277,0.0725400927188055,0.0151711966299839,0.000517170309834713,0.0076928048154037,0.0126860461497794,0.0415136106219117,0.0730572630286402,0.0340352188073314,0.0852261388685849,103133.0134,186725.347123818
2029,0.05,0.05,IndexProxy,0.0394910889346816,0.0665154941501606,0.0239476490835707,0.0659455388352778,0.0155434398511109,0.000569955314882865,0.00819084137727281,0.0148297586678234,0.0394910889346816,0.0665154941501606,0.0321384904608435,0.0807752975031012,118209.5672,228238.598389572
2030,0.05,0.05,IndexProxy,0.0355765372585733,0.0499480715841098,0.0198539165623254,0.0493392026726159,0.0157226206962479,0.000608868911493876,0.00853474893768303,0.0164788619168861,0.0355765372585733,0.0499480715841098,0.0283886655000084,0.065818064589502,124029.678,229551.297384904
2031,0.05,0.05,IndexProxy,0.0229317198597133,0.0425210355981297,0.00806102262318499,0.0418915438814439,0.0148706972365283,0.00062949171668581,0.00817804733592025,0.015135743366484,0.0229317198597133,0.0425210355981297,0.0162390699591052,0.0570272872479279,126654.09015,261314.836780847
2032,0.05,0.05,IndexProxy,0.0215031959484276,0.0390685463396327,0.00739373778783306,0.0384237962682356,0.0141094581605945,0.000644750071397094,0.00765979466718849,0.0158038164488852,0.0215031959484276,0.0390685463396327,0.0150535324550215,0.0542276127171208,129278.5023,293078.37617679
2033,0.05,0.05,IndexProxy,0.0202378023990056,0.0360454654112008,0.00680987604078615,0.0353895819829707,0.0134279263582195,0.000655883428230052,0.00720110896368765,0.0163251374683484,0.0202378023990056,0.0360454654112008,0.0140109850044738,0.0517147194513192,131902.91445,324841.915572733
2034,0.05,0.05,IndexProxy,0.0191136354910054,0.0333880363577507,0.00629698285188577,0.0327241772900826,0.0128166526391196,0.000663859067668061,0.00679392527717492,0.0167316371324918,0.0191136354910054,0.0333880363577507,0.0130909081290607,0.0494558144225744,134527.3266,356605.454968676
2035,0.05,0.05,IndexProxy,0.0181122121387208,0.0310433363755106,0.00584472887319255,0.0303739026066332,0.0122674832655282,0.000669433768877403,0.00643144774433488,0.0170485016460277,0.0181122121387208,0.0310433363755106,0.0122761766175274,0.0474224042526609,137151.73875,388368.994364619
2036,0.05,0.05,IndexProxy,0.0171939946636021,0.0286173278705175,0.0054369570913419,0.0279450605954573,0.0117570375722602,0.000672267275060189,0.00609945578022198,0.0172716695327807,0.0171939946636021,0.0286173278705175,0.0115364128715639,0.045216730128238,139776.1509,415758.9582
2037,0.05,0.05,IndexProxy,0.016315739437987,0.0266668521472092,0.00505763450357386,0.0259954052050766,0.0112581049344132,0.000671446942132616,0.00578248323040985,0.0171997811372281,0.016315739437987,0.0266668521472092,0.0108401177339837,0.0431951863423047,142400.56305,447175.5869
2038,0.05,0.05,IndexProxy,0.0154763397538734,0.0248492410998224,0.00470477628239429,0.0241817722837922,0.0107715634714792,0.000667468816030231,0.00548005033220915,0.0172088134418873,0.0154763397538734,0.0248492410998224,0.0101848266146034,0.0413905857256795,145024.9752,478592.2156
2039,0.05,0.05,IndexProxy,0.0146746488115443,0.0231554494039234,0.00437653607664585,0.0224946718918997,0.0102981127348985,0.000660777512023693,0.00519167115962342,0.0171328655600473,0.0146746488115443,0.0231554494039234,0.00956820723626927,0.039627537451947,147649.38735,510008.8443
2040,0.05,0.05,IndexProxy,0.0139094907006571,0.0197671731891452,0.00407119635036824,0.0191154022125561,0.00983829435028882,0.00065177097658904,0.00491685681858839,0.0169837512274435,0.0139094907006571,0.0197671731891452,0.00898805316895663,0.0360991534399996,150273.7995,500077.059
2041,0.05,0.05,IndexProxy,0.0131796700442344,0.0184225743352217,0.00378715939569138,0.0177817695000522,0.00939251064854303,0.00064080483516949,0.00465511822636376,0.0154911757051653,0.0131796700442344,0.0184225743352217,0.00844227762205515,0.0332729452052176,152898.21165,528776.2323
2042,0.05,0.05,IndexProxy,0.0124839804386777,0.0171693772907141,0.00352293897273617,0.0165411809302811,0.00896104146594151,0.000628196360432981,0.00440596851754998,0.0152374014529064,0.0124839804386777,0.0171693772907141,0.00792890749028614,0.0317785823831875,155522.6238,557475.4056
2043,0.05,0.05,IndexProxy,0.0118212118108579,0.0160013731442411,0.00327715253277784,0.0153871450514243,0.00854405927808004,0.000614228092816804,0.00416892511530011,0.0149436343265188,0.0118212118108579,0.0160013731442411,0.00744607764807795,0.0303307793779432,158147.03595,586174.5789
2044,0.05,0.05,IndexProxy,0.0111901568023076,0.0149127744462125,0.00304851398397938,0.0143136233036505,0.00814164281832822,0.000599151142561944,0.00394351150273251,0.0146166899721875,0.0111901568023076,0.0149127744462125,0.00699202548671189,0.028930313275838,160771.4481,614873.7522
2045,0.05,0.05,IndexProxy,0.0105896162804573,0.0138981866220579,0.00283582696184129,0.0133149984220005,0.00775378931861603,0.000583188200057438,0.00372925872629512,0.0142626276808517,0.0105896162804573,0.0138981866220579,0.0065650856881364,0.0275776261028522,163395.86025,643572.9255
2046,0.05,0.05,IndexProxy,0.0100184040676479,0.0129525813228444,0.00263797856915468,0.0123860450437214,0.00738042549849322,0.000566536279123031,0.0035257066598611,0.0138868227510167,0.0100184040676479,0.0129525813228444,0.00616368522901579,0.0262728677947381,166020.2724,672272.0988
2047,0.05,0.05,IndexProxy,0.00947535097024182,0.0120712715820942,0.00245393355270203,0.0115219023662525,0.00702141741753979,0.000549369215841707,0.00333240505562467,0.0134940324359842,0.00947535097024182,0.0120712715820942,0.0057863386083267,0.0250159348022366,168644.68455,700971.2721
2048,0.05,0.05,IndexProxy,0.0089593081824744,0.0112498886564915,0.00228272888623445,0.010718048712793,0.00667657929623996,0.000531839943698553,0.00314891440539269,0.0130884560184742,0.0089593081824744,0.0112498886564915,0.00543164329162714,0.0238065047312672,171269.0967,729670.4454
2049,0.05,0.05,IndexProxy,0.00846915013267987,0.0104843604364414,0.00212346873138088,0.00997027787236557,0.00634568140129899,0.000514082564075873,0.00297480663361352,0.0126737895110744,0.00846915013267987,0.0104843604364414,0.0050982753649944,0.02264406738344,173893.50885,758369.6187
2050,0.05,0.05,IndexProxy,0.00792105625184994,0.00837326922734735,0.00189259916884045,0.00787705499776199,0.00602845708300949,0.000496214229585354,0.00280966564142898,0.0122532754399877,0.00792105625184994,0.00837326922734735,0.00470226481026943,0.0201303304377497,167652.627,678879.008
